"00:14:15,993","00:14:18,829
",leave,STELLA

"00:14:53,739","00:14:54,782
", ,STELLA

"00:17:29,562","00:17:31,063
", ,STEVE

"00:17:34,817","00:17:37,486
", ,CHARLIE

"00:17:37,570","00:17:39,488
", ,CHARLIE

"00:17:39,572","00:17:40,531
", ,CHARLIE

"00:17:43,909","00:17:46,495
", ,RECEPTIONIST

"00:17:46,579","00:17:49,999
",gold,LYLE

"00:17:50,041","00:17:51,959
", ,JOHN BRIDGER

"00:17:52,001","00:17:53,628
", ,JOHN BRIDGER

"00:17:53,711","00:17:55,963
", ,STELLA

"00:17:56,005","00:17:57,048
", ,STEVE

"00:17:57,131","00:17:58,841
", ,STEVE

"00:17:58,924","00:18:00,635
", ,STEVE

"00:18:00,718","00:18:01,969
",on,STELLA

"00:18:02,011","00:18:03,763
", ,CHARLIE

"00:18:03,846","00:18:05,056
", ,LYLE

"00:18:05,181","00:18:06,474
",on,STEVE

"00:18:06,515","00:18:08,726
", ,MASHKOV

"00:18:08,809","00:18:10,519
", ,STELLA

"00:18:12,021","00:18:13,314
", ,SKINNY PETE

"00:18:13,397","00:18:15,274
",gold,YEVHEN

"00:18:17,276","00:18:18,611
",out,STEVE

"00:18:18,694","00:18:20,821
",get out,STEVE

"00:18:20,863","00:18:22,949
",getting,STELLA

"00:18:23,032","00:18:24,325
",lot,LYLE

"00:18:24,367","00:18:25,493
",lot money,STELLA

"00:18:25,534","00:18:27,286
", ,STEVE

"00:18:27,370","00:18:28,496
", ,CHARLIE

"00:18:28,579","00:18:30,081
", ,RICHARD

"00:18:30,164","00:18:32,333
",get,CHARLIE

"00:18:32,375","00:18:33,668
",lot,CHRISTINA GRIEGO

"00:18:33,709","00:18:35,753
",on,RICHARD

"00:18:35,836","00:18:37,505
",going get,JOHN BRIDGER

"00:18:37,588","00:18:40,383
", ,CHARLIE

"00:18:41,467","00:18:42,343
", ,HANDSOME ROB

"00:18:42,385","00:18:43,511
",big,JOHN BRIDGER

"00:18:43,552","00:18:45,763
", ,STELLA

"00:18:45,846","00:18:47,014
", ,STEVE

"00:18:48,599","00:18:51,102
",get,STELLA

"00:18:51,227","00:18:53,354
",going,JOHN BRIDGER

"00:18:53,396","00:18:54,897
", ,RICHARD

"00:18:54,939","00:18:56,524
",big,JOHN BRIDGER

"00:18:56,565","00:18:58,192
",get,CHARLIE

"00:18:58,276","00:18:59,568
", ,CHARLIE

"00:18:59,652","00:19:01,612
", ,HANDSOME ROB

"00:19:01,696","00:19:04,031
", ,LYLE

"00:19:04,198","00:19:05,908
", ,LYLE

"00:19:05,992","00:19:07,868
",on,STELLA

"00:19:07,910","00:19:08,869
", ,STEVE

"00:19:08,911","00:19:10,413
", ,STELLA

"00:19:12,081","00:19:13,708
", ,CHARLIE

"00:19:13,749","00:19:15,209
", ,CHARLIE

"00:19:15,251","00:19:16,294
", ,CHARLIE

"00:19:21,590","00:19:23,384
", ,CHARLIE

"00:19:23,426","00:19:25,636
",closed,JOHN BRIDGER

"00:19:25,720","00:19:28,055
", ,STELLA

"00:19:28,097","00:19:29,557
", ,RICHARD

"00:19:29,599","00:19:31,058
", ,JOHN BRIDGER

"00:19:31,100","00:19:32,393
", ,JOHN BRIDGER

"00:19:33,436","00:19:35,229
", ,STEVE

"00:19:35,271","00:19:38,399
", ,YEVHEN

"00:19:38,441","00:19:41,068
", ,RICHARD

"00:19:41,110","00:19:45,072
", ,CHARLIE

"00:19:45,114","00:19:47,074
", ,STELLA

"00:19:47,116","00:19:49,243
",out on,SECOND COP

"00:19:49,285","00:19:51,078
", ,JOHN BRIDGER

"00:19:51,120","00:19:53,581
", ,STELLA

"00:19:53,623","00:19:55,082
", ,STEVE

"00:19:55,124","00:19:58,753
", ,CHARLIE

